Болезнь,Симптомы
Ангина,боль в горле;температура;вялость;головная боль;увеличенные лимфатические узлы;снижение аппетита;повышенное слюнотечение;боль в ушах;увеличенные миндалины;белый налет на миндалинах
Аневризма аорты,боль в груди;нарушение прохождения пищи;дискомфорт во время еды;кашель;осиплость голоса;боль в спине;боль в ногах;боль вокруг пупка
Аритмия,тахикардия;вялость;головокружение;боль в груди;одышка;учащенное дыхание;обморок;потеря сознания
Атеросклероз,боль в груди;инфаркт;рассеянность внимания;снижение работоспособности;нарушение памяти;утомляемость;головокружение;нарушение сна;снижение интеллекта;наружение мозгового кровообращения;инсульт;тромбоз;хромота;похолодание конечностей
Атриовентрикулярная блокада,слабый пульс;вялость;утомляемость;одышка;боль в груди;вялость;головокружение;потеря сознания;синюшность
Бессоница,нарушение сна;поверхностный сон;малая длительность сна;сонливость;утомляемость;эмоциональные расстройства;нарушение памяти
Блефарит,зуд в глазах;ощущение тяжести век;переутомление глаз;светобоязнь;отечность век;чешуйки на коже век;выпадение ресниц;неправильный рост ресниц
Болезни сердца,одышка;вялость;утомляемость;тахикардия;кашель;учащенное дыхание;боль в груди;боль в спине;боль в печени;боль в сердце;отек ног;нарушение сна
Болезнь Альцгеймера,нарушение памяти;эмоциональные расстройства;депрессия;беспокойство;дезориентация;апатия;галлюцинации;бредовое расстройство;прозопагнозия;нарушение координации движений;шаркающая походка;судороги
Болезнь Паркинсона,повышенный тонус мышц;дрожь;нарушение координации движений;потеря равновесия;нарушении осанки;запор;депрессия;бессоница;нарушение обоняния;пониженное артериальное давление;дирузия;запор;снижение либидо;деменция;апатия
Вертебро-базилярная недостаточность,головокружение;головная боль;нарушение слуха;шум в ушах;нарушение зрения;нарушение кооржинации движений;нарушение памяти;раздражительность;утомляемость;вялость;сонливость;двоение зрения;эмоциональные расстройства
Внутричерепная гипертензия,тяжелая голова;головная боль;тошнота;рвота;утомляемость;снижение работоспособности;эмоциональные расстройства;раздражительность;учащенное сердцебиение;пониженное артериальное давление;повышенная потливость;расширенные вены под глазами;снижение либидо;снижение интеллекта
Врожденная цитомегаловирусная инфекция,недоношенность;увеличенная печень;увеличенная селезенка;хориоретинит;пневмония;задержка психомоторного развития;тугоухость;наружение зрения;аномании зубов
Гайморит,слизисто-водянистые выделения из носа;желто-зеленые выделения из носа;боль в области пазух;боль в горле;влажный кашель;зубная боль;головная боль;боль в глазах;нарушение зрения;покраснения вокруг глаз
Глаукома,боль в глазах;нарушение зрения;затуманенность зрения;гало;боль в надбровной области;повышенное давление в глазу;тошнота;боль в височной области
Головокружение,иллюзия движения;нарушение координации движений;тошнота;рвота;звон в ушах;иллюзия верчения
Гранулематоз Вегенера,поражение бронхов;поражение легких;поражение почек;сухость слизистой носа;заложенность носа;носовые кровотечения;осиплость голоса;сухость в горле;сухой кашель;температура;гнойный отит;лихорадка;недомогание;боль в коленных суставах;артрит;шишки;боль в сердце;боль в голеностопных суставах;кровотечения
Диарея путешественников,диарея;тошнота;боль в животе;судороги
Заболевания периферических артерий,непереносимость холода;зябкость;онемение;ощущение покалывания;перемежающаяся хромота;боль в ногах;трофические нарушения тканей ног;язвы;сухость кожи;изчезновение волос с ног;изчезновение подкожного жира в ногах;утолщение ногтей;некроз
Заболевания уха,боль в наружном ухе;снижение слуха;выделение жидкости из уха;боль в ушах;покраснение и опухание наружного уха;температура
Заикание,персеверация;возникновение гримас;нервные тики;сильное волнение;напряженность;протягивание определенных звуков
Инсульт,вялость;онемение;паралич;нарушение речи;головокружение;потеря равновесия;ишемические приступы;нарушение походки;нарушение зрения;нарушение координации движений
Инфаркт миоркарда,боль в области сердца;боль в животе;бледность кожи;повышенная потливость;обморок;затрудненное дыхание;одышка
Катаракта,двоение зрения;расплывчатость изображения;затуманенность зрения;близорукость;вспышки в глазах;светобоязнь;гало;нарушение зрения
Конъюнктивит,обильное слезотечение;покраснение глаз;гнойные истечения;отек коньюнктивы;зуд;отек века
Косоглазие,смещение глазного яблока от нормальной оси;диплопия;головная боль;головокружение;расфокусировка зрения
Кровотечения,холодный пот;головокружение;учащенное сердцебиение;одышка;спутанность сознания;рассеянность внимания;вялость;боль в животе;вздутие живота;кровь при дефекации;кровь в моче;вагинальное кровотечение;кровь в рвотной массе
Ларингит,недомогание;температура;боль при глотании;затруденное дыхание;сухость в горле;першение в горле;осиплость голоса;сухой кашель;влажный кашель
Лимфогранулематоз,увеличенные лимфатические узлы;увеличенные лимфатические узлы;затруденное дыхание;кашель;вялость;температура;повышенная потливость;снижение веса
Мастопатия,боль в молочных железах;новообразования молочных желез
Меланома,новообразование на коже;ассиметричная форма новообразования;боль в костях;кровотечения;язвы;вялость;снижение веса;нарушение зрения
Неврит,снижение чувствительности кожи;нарушение координации движений;вегетативное расстройство;повышенная потливость;синюшность кожи;отеки;боль за ухом;нарушение подвижности суставов
Остеохондроз,боль в шее;напряженность мыщц шеи;ограниченные движения шеи;воспаление тканей плечевого сустава;боль в плече;нарушение кровообращения;боль в затылке;боль между лопаток;боль в плече;боль в области сердца;боль в пояснице;боль в груди;парезы;снижение чувствительности кожи;сухость кожи;изгибание поясницы;боль в подзатылочной области
Острый лейкоз,температура;вялость;увеличенные лимфатические узлы;увеличенная селезенка;увеличенная печень;боль в костях;кровотечения;тенденция к образованию синяков;красные пятна на коже;вялость
Острый ревматизм,лихорадка;боль в суставе;увеличенные голеностопные суставы;подкожные узелки;сыпь;мышечные судороги
Отравления,лихорадка;озноб;снижение аппетита;головная боль;раздражительность;вялость;сонливость;головокружение;боль при глотании;повышенное слюноотделение;боль в животе;рвота;диарея;тошнота;затуманенность зрения;оцепенение;судороги;обморок;двоение в глазах
Переломы,деформация кости;боль в костях;боль при движении;ограниченность движения
Перикардит,боль в области сердца;боль при наклоне вперед;боль в области сердца;температура;одышка;сухой кашель;рвота
